NCR No,NCR Description,Stage Of Inspection,Equipment,NCR Class,Status,Rectification Required,Proposed Solution,Problem Category,Root Cause,Root Cause Category,Corrective Action,Workman or Management,Disposition,Referred to Customer,Comments from Design,Implemented Solution,Corrective Action Implemented,Validate On,QA Approve On,QC Closure On,Designer Review On,CTQ,PBU,NCR COPQ,Root Cause Finalised in Hours,Time to give disposition in hours
NCR-01039,Project no. S020014A-D  Requirement:  a. Ferritic Buttering Seam no. BW1104B shall be at 90° towards 0° and BW1104A shall be at 90° towards 180°  b. Ferritic buttering Seam no. BW1104C shall be at 270 towards 0° and BW1104D shall be at 270° towards 180°.  Deviation:  a. Actual punching of Seam no. BW1104A & BW1104B swiped with each other.  b. Actual punching of Seam no. BW1104C & BW1104D swiped with each other.  Subsequent inspection and Seam NDE cleared with above seam punching.,NULL,Tubesheet,Minor,Closed,No,ECR from design to represent the actual seam location used on job,Other,1) Drawing Interpretation error by Shop & QC.,Others,1) ECR / drawing shall be made as per actual punching on Tubesheet. 2) Protocol shall be corrected to indicate exact position of buttering / Part whenever symmetry w.r.t. major orientation is there or they are not attached to major orientations. 3) Awareness regarding incidence shall be given to Supervisor and QC personnel by 31.12.2018,Management,Accept as it is,No,"Acceptable, ECR will be issued.",ECR no. S020014-DCR-057 is raised to regularize the deviation.  Deviation is accepted as is.,NULL,2019-03-18,2019-03-22,2019-05-15,2019-05-09,NULL,NULL,NULL,331,4125
S020014A-NCR-011,"Item no. 11024F (STC part-1 of PWTC for Tube sheet Inconel overlay):  Stage: Chemical analysis after Simulation heat treatment. LTFPS no. 1108, Opn. no. 220.  Requirement: %Manganese: 2.5 – 3.5.  Observation: %Manganese found as below:                          1) 4.21% at sample no. C2 SASC (8.5 - 7.5 mm)                          2) 3.62% at Sample no. C2 SASC (7.5 - 6.5 mm)                          3) 3.60% at Sample no. C2 SASC (6.5 - 5.5 mm)  Objective evidence: T.C. No. BT2585, BT2586, BT2587, Dtd. 21.12.2018.",NULL,Tubesheet,Minor,Closed,No,Deviation shall be accepted as it. similar deviation in Mn content observed during consumable qualification & same has been accepted by customer through NPC-NCR No. C02180002-NCR-003. ,Materials,Marginally Mn pick up due to flux based process,Others,nil,Management,Accept as it is,Yes,"Mn. content deviation sr. no. 1 is not a deviation, Sr. no. 2 & 3 are minor in nature and can be accepted. Need to be regularized through NPCIL NCR.  ",Deviation is accepted as is based on design acceptance.,NULL,2019-03-18,2019-05-02,2019-05-15,2019-05-09,NULL,NULL,NULL,841,1062
S020014A-NCR-010,"Stage: Dimension inspection of Tubesheet after pitting removal on secondary side. LTFPS No. 7004 R2, OPN No. 90  Requirement: Radius at groove area of secondary side shall be R60 +/-1 mm.  Deviation: Radius at groove area of secondary side observed R61.5 mm.  Objective evidence: Report no. 7004/DE/90/01 Dated 31.12.2018",NULL,Tubesheet,Minor,Closed,No,To be accepted as it is.,Other,Pitting on Tubesheet removed as per customer approved documents.,Others,Not Applicable,Management,Accept as it is,Yes,Radius at groove area upto 61.5 mm is acceptable. Same is to be regularized through NPCIL-NCR.,Deviation is accepted as is.,NULL,2019-03-20,2019-05-01,2019-06-23,2019-05-02,NULL,NULL,NULL,21,1415
NCR-01042,Stage of Inspection: Dimensional Inspection after final machining of Rib-1 (Item No.: 11023B-1)  Requirement: Face to Radius corner distance shall be 451.2±0.8 mm  Deviation: Face to Radius corner distance observed 452.05 mm  Objective evidence: Inspection Report No.: 1111/DE/1180/SE/001 dated 28.12.2018  ,NULL,Other,Minor,Closed,No,To be accepted as it is,Vendor,PMG Prepares machining drawing based on customer approved drawing. Tighter tolerances are used for better process control,Dimension Control Machining,Fabrication tolerances will be applied wherever dimensions are not impacting assembly/customer requirements in consultation with Designer,Management,Accept as it is,No,"Minor Deviation, acceptable",Deviation is accepted as is based on Design Comment.,NULL,2019-03-26,2019-03-28,2019-08-22,2019-05-02,NULL,NULL,NULL,19,22
NCR-01044,"Item no. 10001F (Spherical segment):  Stage: Inconel overlay welding for Seam no. OW1001/IS1. OPN no. 130 of LTFPS no. 1002.  Requirement: During any interruption in welding, the joint temperature shall not fall below preheat temperature. If the job is to be cooled to room temperature, post heating at 280±20°C for 6 hrs. (min.) is required before allowing it to cool from preheat to room temperature.  Observation: During Inconel overlay welding for Seam no. OW1001/IS1, after welding of 5 passes of first layer, temperature at first three pass from open end was observed in the range of 100°C to 125°C without performing post heating at 280 ±20°C.  Objective evidence: Refer attached WDS (Sheet no. 4).",welding,Dished End Assembly,Minor,Closed,Yes,"• Simulated mock up shall be welded and tested as per attached annexure-1 which includes inspection stages, WPP, HTP and MSTP.  • Subsequent to successful completion of mock up and satisfactory test results, further welding on job shall be proceeded as per LTFPS 1002  ",Execution,Temperature reduction during break time due to lack of monitoring,WPS/Wels Plan Violation,"• Monitoring of temperature is to be ensured even during break time. • As a precautionary measure, one more row of burner will be added at open end of primary head to the existing set of burners and same shall be validated before going ahead with welding.",Workman,Accept as it is,No,Simulation mock-up proposal by shop is acceptable. If test results of mockup found satisfactory work can proceed.,- Simulated mock up is welded and tested as per attached annexure-1.  - Deviation is accepted as is.,NULL,2019-03-28,2019-10-09,2019-10-12,2019-10-12,NULL,NULL,NULL,838,1051
S020014B-NCR-001,"Item no. 11024 (STC of PWTC-3 part-1 for Tube sheet Inconel overlay):   Stage: Chemical analysis after Simulation Heat Treatment. Opn. no. 220 of LTFPS no. 1108.  Requirement: %Manganese: 2.5 to 3.5.   Observation: 1) 3.75% at Sample no. C2 SASC (7.5 - 6.5 mm from base material surface)                          2) 3.85% at Sample no. C2 SASC (6.5 - 5.5 mm from base material surface)  Objective evidence: T.C. No. BT8639, BT8640, Dtd. 06.02.2019.   ",NULL,Tubesheet,Minor,Closed,No,Deviation shall be accepted as it. similar deviation in Mn content observed during consumable qualification & same has been accepted by customer through NPC-NCR No. C02180002-NCR-003. ,Materials,Marginally Mn pick up due to flux based process,Others,nil,Management,Accept as it is,Yes,"Acceptable, referred to NPCIL through letter no. PMGLTR-0164 and acceptance taken. Need to be regularized through customer NCR.",Deviation is accepted as is based on design acceptance.,NULL,2019-03-30,2019-07-19,2019-12-20,2019-12-20,NULL,NULL,NULL,24,75
S020014A-NCR-012,"Item no. 11006-1 (Thermal sleeve for Passive decay heat removal nozzle):   Stage: Dimension inspection after machining. Opn. no. 220 of LTFPS no. 7012  Requirement: Damage free / Surface finish: 3.2µ  Observation: WEP damaged.  Objective evidence: Photographs & Report no. 11006-1/DE/220/SE/001, Dtd. 19.02.2019  ",NULL,Pipe,Minor,Closed,Yes,WEP shall be re machined to remove the damage. Revised dimensions shall be as per NPCIL approved L&T letter NU-SG-0014-CCO-062.  ,Vendor,Improper Handling may have happened at dispatch section after inspection at vendor place.,Material Handling,Awareness shall be given at Vendor place for handling machined items after inspection. Machined items shall be protected with rubber cover / protective cap after inspection.,Management,Repair (Rectify Partially),Yes,"Damaged WEP to be re-machined, Minor Reduction in length in component stage is acceptable.",Necessary rectification has been carried out through an approved LTFPS No.: 7211. Item is checked and cleared by L&T QC & NPCIL-QS.,NULL,2019-04-10,2019-05-01,2020-05-19,2019-06-28,NULL,NULL,NULL,234,260
S020014B-NCR-002,"Item no. 11001 (Tube sheet):   Stage: Dimension inspection of Primary side WEP after machining. Opn. no. 970 of LTFPS no. 1102  Requirement: Inside Radius: 1178.7+1.5/-0.5 mm.  Observation: 1176 - 1177.5 mm  Objective evidence: Report no. 1102/970/DE/01, Dtd. 05.03.2019  ",NULL,Tubesheet,Minor,Closed,No,To be accepted as it is,Other,Weld shrinkage during Inconel cladding on Tube sheet,Others,Due to shrinkage both height and diameter cannot be maintained simultaneously. Hence ID shall be made reference and height to be made as fixed dimension.,Management,Accept as it is,Yes,"Acceptable, Primary head WEP (after weld overlay) to be machined to suit tubesheet WEP. ",Accept as it is,NULL,2019-06-06,2019-06-06,2019-06-07,2019-06-06,NULL,NULL,NULL,679,1321
S020014C-NCR-001,"Project No. S020014C  Item no. 11024 (STC of PWTC-3 part-1 for Tube sheet Inconel overlay):   Stage: Chemical analysis after Simulation Heat Treatment. Opn. no. 220 of LTFPSno. 1108.  Requirement: %Manganese: 2.5 to 3.5.  Observation: 1) 3.59% at Sample no. C2 SASC (7.5 - 6.5 mm from base material surface)                          2) 3.63% at Sample no. C2 SASC (6.5 - 5.5 mm from base material surface)  Requirement: %Iron: 3.0 maximum.  Observation: 1) 3.97% at Sample no. C2 SASC (6.5 - 5.5 mm from base material surface)  Objective evidence: T.C. No. BT6812, BT6813, Dtd. 25.01.2019.   ",NULL,Tubesheet,Minor,Closed,No,Accepted as it is as similar deviation was observed during consumable qualification and same was accepted by customer through NPC NCR No. C02180002-NCR-003.,Materials,Marginally Mn pick up due to flux based process,Others,NA,Management,Accept as it is,Yes,"Acceptable, customer acceptance taken through reply of L&T Letter no. NU-SG-C0180002-PMGLTR-0199 Attached herewith.",Deviation is accepted as is.,NULL,2019-04-10,2019-08-26,2019-11-20,2019-10-10,NULL,NULL,NULL,144,674
S020014B-NCR-003,"Project No. S020014B  Item no. 11001 (Inconel overlay on Tube sheet):   Stage: Chemical analysis of Inconel overlay at Tube region. Opn. no. 790 of LTFPS no. 1102.  Requirement: %Carbon: 0.04 Maximum.  Observation: 1) 0.064%, Welding Process: SMAW (8.21 - 8.80 mm from base material surface)  Requirement: %Manganese: 2.5 - 3.5.  Observation: 1) 3.54%, Welding Process: SASC (8.15 mm from base material surface)  Objective evidence: T. C. No. BU2835, Dtd. 26.02.2019 & T.C. No. BU2834 (R), Dtd. 28.02.2019  ",NULL,Tubesheet,Minor,Closed,No,Accepted as it is. refer enclosed customer acceptance letter.,Other,"Higher Mn content due to pickup & dilution, flux based process. Carbon content process limitation ",Others,Na,Management,Accept as it is,Yes,"Deviations are acceptable as it is, customer concurrence received on 5-Apr-19 on L&T proposal letter no. PMGLTR-0207 Dt: 04-Apr-19, attached herewith. ",Acceptable.   NPCIL NCR raised for the deviation. (NCR-027),NULL,2019-04-10,2019-04-15,2019-06-10,2019-05-18,NULL,NULL,NULL,1343,1344
S020016A-NCR-004,"Details of Non conformances:   Following deviations are observed during CMTR review of SA240M 304L Plate of End Shield project (Project No.: S020016A).  Heat No.: J0756  Plate No.: 738733.11  L&T Plate No.: 71913  Thickness: 150mm (Machined to 10mm)  Requirement as per NPCIL approved Material Specification No.:NU-ES-0016-MAT-003, R1   1. Certification in the CMTR for “No weld repair carried out on plate by filler metal”.  2. Delivery Condition - The Plate material shall be hot rolled.  Deviation:   1. “No weld repair carried out on plate by filler metal” is not certified in CMTR.  2. Hot Rolled is not certified in CMTR.  Evidence:   Refer attached NPCIL-QS signed Report No.: CL/71913/01, Dated: 11.12.2018 for details.",NULL,Plate,Minor,Closed,No,To be accepted as it is,Other,• Plate was used from stock material.,Others,NA,Management,Accept as it is,Yes,Accepted as it is.,"Additional testing as identified in the gap analysis of CMTR review are done as per approved LTFPS-ES-411, R1 and found acceptable.  NPCIL NCR No. NPCIL/GHAVP-1/ES/NCR003 has been approved for regularization. ",NULL,2019-04-18,2019-05-18,2019-09-05,2019-06-08,NULL,NULL,NULL,98,1242
S020016A-NCR-005,"Details of Non conformances:   Deviation is observed in Product Analysis for Manganese content in 125mm thick SA516 Gr70 Plate as reported in the CMTR.  CMTR No.: 2019-106023 Dated: 27.02.2019    Heat No.: 31963  Plate No.: 115620.001  Size: 7400 X 2450 X 125mm   Requirement as per NPCIL approved Material Specification No.:NU-ES-0016-MAT-004, R1   Manganese content shall be less than 1% based on Product Analysis.  Deviation:   Manganese content reported in CMTR for Product Analysis: 1.204%  Evidence:   Refer attached CMTR No.: 2019-106023 Dated: 27.02.2019 for details.",NULL,Plate,Minor,Closed,No,"To be accepted as it is , based on prior customer approval sought",Vendor,Mill limitation to achieve additional requirement other than ASME,Others,Explore additional mills for possibility of meeting this requirement of Mn< 1%,Management,Accept as it is,Yes,Accepted as it is.,Accepted as it is based on Customer's approval. Refer design comments for the details of Customer approval.,NULL,2019-04-24,2019-05-02,2019-05-20,2019-05-09,NULL,NULL,NULL,1072,1242
NCR-01060,"Project no. S020014A-D  Stage: Test Certificate review for Stainless Steel SS 1.4550 Plates. Heat no. 270318, L&T Plate no. 54563, 54572, 54575, 54571, 54569, 54570.  Requirement: Material shall meet the requirement of NPCIL Specification PC-M-961, Rev. 0 & L&T Specification NU-SG-0014-MAT-005, Rev. R3  Deviation: Following deviation is observed.   (1) Material manufactured as per DIN EN 10028-7: 2008 edition against requirement of 2016 Edition.  (2) Steel melting process observed VOD instead of vacuum Degassing (VD).  (3) Passivisation of material is not certified.  (4) Residual Cu content not reported in product analysis.  (5) Deviation observed in Normal Beam UT examination. Refer Annexure-3 to CCM.  (6) Actual dimensions not reported for each plate. Under tolerance material thickness is used for plate.  (7) Supply condition and rolling direction is not punched.  Objective evidence: Refer L&T & NPCIL reviewed CCM.",Test Certificate Review,Steam Generator,Minor,Closed,No,All the referenced plates shall be rejected.,Other,Plates are not meeting GHAVP-SG specification requirements,Others,NA,Management,Reject,No,"Deviations not acceptable, plates to be rejected.","Deviations not acceptable, plates are rejected.",NULL,2019-06-10,2019-07-19,2019-07-26,2019-07-19,NULL,NULL,NULL,1015,1032
